file_key,project_id,name,thumbnail_url,last_modified,version,role,editor_type
FK_PPR26A_sprint4,PPR-26A,Patient Portal Redesign – Sprint 4,https://figma.example.com/thumbs/FK_PPR26A_sprint4.png,2026-10-02T14:30:00Z,v2104.0.0,editor,figma
FK_PPR26A_stepper,PPR-26A,Patient Portal Redesign – Sprint 4 Stepper,https://figma.example.com/thumbs/FK_PPR26A_stepper.png,2026-10-08T11:45:00Z,v1987.0.0,editor,figma
FK_PPR26A_sprint3,PPR-26A,[ARCHIVED] Patient Portal Redesign – Sprint 3,https://figma.example.com/thumbs/FK_PPR26A_sprint3.png,2026-07-28T16:00:00Z,v1450.0.0,editor,figma
FK_CXM24Q3_00,CXM-24Q3,Onboarding Flow Refresh,https://figma.example.com/thumbs/FK_CXM24Q3_00.png,2026-08-05T10:15:00Z,v1200.0.0,editor,figma
FK_RPL25B_01,RPL-25B,Settings Modal Redesign,https://figma.example.com/thumbs/FK_RPL25B_01.png,2026-09-06T10:15:00Z,v1237.0.0,editor,figma
FK_NAV25C_02,NAV-25C,Mobile Nav Pattern,https://figma.example.com/thumbs/FK_NAV25C_02.png,2026-10-07T10:15:00Z,v1274.0.0,viewer,figma
FK_DSY26A_03,DSY-26A,[ARCHIVED] Component Library Audit,https://figma.example.com/thumbs/FK_DSY26A_03.png,2026-08-08T10:15:00Z,v1311.0.0,editor,figma
FK_OBR25D_04,OBR-25D,Dashboard Grid Migration,https://figma.example.com/thumbs/FK_OBR25D_04.png,2026-09-09T10:15:00Z,v1348.0.0,editor,figma
FK_FNT26B_05,FNT-26B,Fintech Dashboard Components,https://figma.example.com/thumbs/FK_FNT26B_05.png,2026-09-15T10:15:00Z,v1410.0.0,editor,figma
FK_HCR25A_06,HCR-25A,Healthcare Records Viewer,https://figma.example.com/thumbs/FK_HCR25A_06.png,2026-10-01T10:15:00Z,v1455.0.0,editor,figma
FK_RPL25B_07,RPL-25B,Notification Center,https://figma.example.com/thumbs/FK_RPL25B_07.png,2026-08-11T10:15:00Z,v1422.0.0,editor,figma
